neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,room_type_n
Queens,Private room,50,1,28,1.23,0
Brooklyn,Private room,85,3,55,1.56,0
Manhattan,Private room,85,1,2,0.05,0
Manhattan,Entire home/apt,245,1,0,0.0,1
Brooklyn,Entire home/apt,130,3,1,0.16,1
Brooklyn,Private room,60,1,0,0.0,0
Brooklyn,Entire home/apt,65,1,56,1.58,1
Brooklyn,Private room,81,3,120,2.81,0
Queens,Entire home/apt,85,1,8,2.82,1
Brooklyn,Entire home/apt,185,2,36,1.44,1
Manhattan,Entire home/apt,290,5,4,0.24,1
Manhattan,Entire home/apt,75,7,1,0.09,1
Brooklyn,Private room,65,3,28,1.09,0
Manhattan,Entire home/apt,280,4,97,1.25,1
Brooklyn,Entire home/apt,85,2,23,1.25,1
Manhattan,Private room,70,4,23,1.2,0
Brooklyn,Entire home/apt,75,2,1,0.06,1
Manhattan,Entire home/apt,250,2,105,2.26,1
Manhattan,Entire home/apt,100,4,2,0.3,1
Brooklyn,Entire home/apt,125,2,24,0.68,1
Queens,Entire home/apt,190,3,21,1.49,1
Manhattan,Private room,200,1,0,0.0,0
Manhattan,Private room,78,2,36,1.94,0
Manhattan,Entire home/apt,170,3,1,0.03,1
Queens,Private room,65,1,2,2.0,0
Manhattan,Private room,99,2,0,0.0,0
Brooklyn,Entire home/apt,110,2,20,2.56,1
Manhattan,Entire home/apt,225,1,3,0.35,1
Bronx,Private room,75,3,0,0.0,0
Manhattan,Entire home/apt,295,3,2,1.0,1
Queens,Private room,43,2,65,2.87,0
Queens,Entire home/apt,58,2,19,2.95,1
Manhattan,Private room,87,3,1,0.03,0
Manhattan,Entire home/apt,160,3,21,0.6,1
Manhattan,Private room,60,2,33,0.46,0
Manhattan,Shared room,175,1,1,0.02,2
Brooklyn,Private room,50,5,2,0.05,0
Brooklyn,Private room,122,2,11,0.82,0
Brooklyn,Private room,80,1,1,0.02,0
Brooklyn,Entire home/apt,249,2,43,1.27,1
Manhattan,Entire home/apt,225,7,0,0.0,1
Brooklyn,Private room,60,1,64,8.97,0
Brooklyn,Entire home/apt,119,4,4,0.1,1
Bronx,Entire home/apt,150,2,79,1.99,1
Manhattan,Private room,100,1,9,0.35,0
Manhattan,Private room,200,1,5,0.47,0
Brooklyn,Private room,45,2,25,2.05,0
Manhattan,Entire home/apt,197,1,0,0.0,1
Manhattan,Private room,130,1,141,5.44,0
Manhattan,Entire home/apt,150,5,3,0.05,1
Brooklyn,Entire home/apt,185,3,115,2.09,1
Brooklyn,Private room,90,1,46,1.04,0
Manhattan,Entire home/apt,275,5,6,0.37,1
Manhattan,Entire home/apt,130,2,34,0.69,1
Brooklyn,Entire home/apt,124,2,91,4.4,1
Manhattan,Private room,39,3,1,0.06,0
Brooklyn,Entire home/apt,105,2,66,1.68,1
Manhattan,Private room,90,2,14,0.67,0
Manhattan,Entire home/apt,170,2,6,0.59,1
Manhattan,Private room,80,1,0,0.0,0
Brooklyn,Entire home/apt,295,2,110,1.74,1
Brooklyn,Entire home/apt,264,2,5,5.0,1
Manhattan,Entire home/apt,239,3,5,2.5,1
Brooklyn,Private room,125,1,0,0.0,0
Manhattan,Entire home/apt,185,2,129,1.33,1
Manhattan,Entire home/apt,130,7,2,0.04,1
Brooklyn,Entire home/apt,239,3,5,0.13,1
Brooklyn,Private room,72,1,48,0.59,0
Manhattan,Private room,100,1,36,2.52,0
Brooklyn,Private room,70,1,5,0.14,0
Manhattan,Entire home/apt,174,5,6,0.28,1
Manhattan,Private room,105,1,140,7.39,0
Manhattan,Entire home/apt,125,2,15,0.34,1
Brooklyn,Private room,30,2,1,0.15,0
Manhattan,Entire home/apt,99,3,13,0.28,1
Brooklyn,Private room,116,3,2,0.32,0
Manhattan,Private room,210,1,0,0.0,0
Manhattan,Entire home/apt,150,2,21,0.4,1
Queens,Private room,75,1,6,0.32,0
Manhattan,Private room,89,1,39,6.65,0
Manhattan,Private room,75,1,2,0.19,0
Brooklyn,Entire home/apt,150,7,0,0.0,1
Manhattan,Entire home/apt,280,3,122,2.35,1
Brooklyn,Entire home/apt,210,3,5,0.21,1
Queens,Private room,55,1,4,1.94,0
Brooklyn,Entire home/apt,135,2,5,0.68,1
Queens,Entire home/apt,100,7,3,0.17,1
Manhattan,Entire home/apt,160,2,11,4.34,1
Brooklyn,Entire home/apt,142,6,4,0.2,1
Brooklyn,Entire home/apt,125,3,42,0.98,1
Brooklyn,Private room,62,1,167,4.52,0
Manhattan,Entire home/apt,300,1,4,1.85,1
Brooklyn,Entire home/apt,115,2,1,1.0,1
Manhattan,Entire home/apt,95,3,2,0.08,1
Queens,Entire home/apt,225,1,1,0.02,1
Brooklyn,Entire home/apt,90,6,0,0.0,1
Brooklyn,Entire home/apt,124,2,9,0.39,1
Queens,Private room,45,3,0,0.0,0
Manhattan,Entire home/apt,250,4,12,0.37,1
Manhattan,Entire home/apt,215,3,2,0.06,1
Queens,Private room,100,3,0,0.0,0
Manhattan,Entire home/apt,119,1,29,3.02,1
Manhattan,Private room,175,2,44,2.26,0
Manhattan,Private room,100,1,1,0.07,0
Brooklyn,Entire home/apt,90,1,0,0.0,1
Queens,Private room,40,2,13,0.55,0
Brooklyn,Private room,57,3,1,0.04,0
Brooklyn,Entire home/apt,95,1,35,2.04,1
Manhattan,Entire home/apt,90,4,266,3.17,1
Brooklyn,Entire home/apt,137,2,99,2.76,1
Brooklyn,Private room,45,5,2,0.09,0
Brooklyn,Entire home/apt,92,7,15,0.49,1
Manhattan,Entire home/apt,95,1,9,0.48,1
Brooklyn,Private room,60,1,0,0.0,0
Bronx,Entire home/apt,145,3,1,0.64,1
Manhattan,Private room,195,1,1,1.0,0
Manhattan,Entire home/apt,200,1,0,0.0,1
Manhattan,Private room,50,7,21,0.55,0
Manhattan,Entire home/apt,250,5,3,1.73,1
Manhattan,Private room,65,4,37,0.76,0
Queens,Private room,50,1,71,1.57,0
Manhattan,Entire home/apt,105,1,111,6.08,1
Manhattan,Entire home/apt,175,3,24,0.52,1
Manhattan,Entire home/apt,210,2,6,1.58,1
Queens,Entire home/apt,120,1,134,4.36,1
Queens,Entire home/apt,87,2,36,1.11,1
Brooklyn,Private room,50,2,2,0.1,0
Manhattan,Entire home/apt,200,1,2,2.0,1
Brooklyn,Entire home/apt,99,4,5,0.77,1
Brooklyn,Entire home/apt,92,2,58,0.67,1
Manhattan,Private room,80,3,1,0.03,0
Brooklyn,Entire home/apt,100,3,3,0.14,1
Manhattan,Private room,66,4,1,0.02,0
Manhattan,Private room,100,5,4,1.04,0
Brooklyn,Private room,89,5,6,0.12,0
Manhattan,Entire home/apt,80,10,17,1.9,1
Brooklyn,Private room,55,2,9,0.8,0
Queens,Private room,65,1,0,0.0,0
Brooklyn,Private room,55,4,18,0.99,0
Queens,Entire home/apt,299,3,6,3.6,1
Brooklyn,Entire home/apt,120,3,3,0.08,1
Brooklyn,Entire home/apt,160,7,0,0.0,1
Brooklyn,Private room,60,3,3,0.23,0
Manhattan,Entire home/apt,100,1,0,0.0,1
Brooklyn,Private room,50,2,2,0.05,0
Brooklyn,Shared room,50,1,197,6.54,2
Manhattan,Entire home/apt,199,2,29,0.47,1
Brooklyn,Private room,63,1,49,2.02,0
Brooklyn,Entire home/apt,140,3,3,3.0,1
Manhattan,Entire home/apt,120,4,3,0.08,1
Bronx,Private room,47,1,9,0.82,0
